2005,14.63
2006,142.53
2007,52.58
2008,50.8
2009,61.15
2010,58.65
2011,65.89
2012,63.56
2013,63.97
2014,59.17
2015,58.45
2016,52.68
2017,49.59
2018,57.02
2019,48.13
2020,55.43
