2002,101
2003,442
2004,528
2005,616
2006,931
2007,1708
2008,2709
2009,5296
2010,8658
2011,14537
2012,24280
2013,37715
2014,56025
2015,76144
2016,93099
2017,102726
2018,109028
2019,113571
2020,115877
