2003	30241
2004	32971
2005	42503
2006	43000
2007	42850
2008	43661
2009	41618
2010	60738
2011	123789
2012	51596
2013	185794
2014	208577
2015	229428
2016	254968
2017	280677
2018	265720
2019	250998
2020	205368
