city	number of events
Valencia, CA	220
Salem, OR	219
El Segundo, CA	217
Capitola, CA	211
Chapel Hill, NC	210
Provo, UT	209
Plainview, NY	207
Iselin, NJ	202
West Des Moines, IA	201
Fort Wayne, IN	200
Williamsburg, VA	199
Redwood City, CA	199
Claremont, CA	197
Oak Brook, IL	195
Chico, CA	195
Huntington, NY	193
Saint Augustine, FL	191
Orange, CA	189
Katy, TX	184
Dublin, OH	180
Louisville, CO	179
Geneva, IL	176
Aliso Viejo, CA	175
Santa Fe, NM	172
Milford, CT	171
Glen Allen, VA	170
Grass Valley, CA	168
El Paso, TX	168
Evanston, IL	167
Layton, UT	162
Sandy, UT	161
Virginia Beach, VA	160
Kansas City, KS	160
Los Gatos, CA	159
Lawrence, KS	158
Troy, MI	157
Green Bay, WI	157
Spring, TX	156
Columbia, MO	156
Willoughby, OH	153
San Bernardino, CA	153
Hamilton, ON	152
Aiea, HI	150
Littleton, CO	150
Pembroke Pines, FL	148
Glendale, CA	148
North Brunswick, NJ	148
Bronx, NY	147
Leawood, KS	146
Baton Rouge, LA	145
Arlington, TX	145
Mason, OH	142
Lafayette, CO	142
Northridge, CA	141
Willow Grove, PA	139
Cleveland, TN	139
San Juan Capistrano, CA	139
Columbia, MD	139
Hoboken, NJ	136
Ontario, CA	135
Lubbock, TX	135
Miami Beach, FL	135
Tustin, CA	130
Jacksonville Beach, FL	130
Corona, CA	127
Red Wing, MN	127
West Hartford, CT	124
Vienna, VA	121
Oak Ridge, NC	120
Chesapeake, VA	120
Babylon, NY	118
Lake Forest, CA	117
Palm Springs, CA	115
Allentown, PA	115
Deltona, FL	115
Temecula, CA	112
Mount Pleasant, SC	110
Westerville, OH	110
Flushing, NY	110
Monterey, CA	109
Worcester, MA	109
Lakeland, FL	108
Sparks, NV	108
Arlington, MA	108
Amherst, MA	105
Jefferson City, TN	105
Garden Grove, CA	104
Roseville, CA	104
Cherry Hill, NJ	103
Covington, KY	102
Ypsilanti, MI	102
Dunellen, NJ	102
Woodland Hills, CA	102
